caldt,b5ret
1971-12-31,0.020794
1972-01-31,-0.003140
1972-02-29,0.007514
1972-03-30,-0.010454
1972-04-28,0.015000
1972-05-31,0.010934
1972-06-30,-0.004373
1972-07-31,0.006244
1972-08-31,-0.003366
1972-09-29,0.006283
1972-10-31,0.004511
1972-11-30,0.009025
1972-12-29,-0.001904
1973-01-31,0.000592
1973-02-28,-0.007539
1973-03-30,0.002407
1973-04-30,0.008916
1973-05-31,0.004753
1973-06-29,-0.000306
1973-07-31,-0.035577
1973-08-31,0.033501
1973-09-28,0.028673
1973-10-31,0.002270
1973-11-30,0.006209
1973-12-31,0.002393
1974-01-31,0.000265
1974-02-28,0.003542
1974-03-29,-0.021528
1974-04-30,-0.018172
1974-05-31,0.016437
1974-06-28,-0.009391
1974-07-31,0.002071
1974-08-30,-0.001181
1974-09-30,0.032098
1974-10-31,0.011080
1974-11-29,0.022249
1974-12-31,0.017449
1975-01-31,0.006574
1975-02-28,0.014735
1975-03-31,-0.008388
1975-04-30,-0.016747
1975-05-30,0.027268
1975-06-30,0.000170
1975-07-31,-0.002112
1975-08-29,0.001699
1975-09-30,0.001816
1975-10-31,0.031872
1975-11-28,-0.001882
1975-12-31,0.024073
1976-01-30,0.005252
1976-02-27,0.006377
1976-03-31,0.009178
1976-04-30,0.007850
1976-05-28,-0.009774
1976-06-30,0.010035
1976-07-30,0.005678
1976-08-31,0.015825
1976-09-30,0.013244
1976-10-29,0.016418
1976-11-30,0.033367
1976-12-31,0.004605
1977-01-31,-0.021982
1977-02-28,0.001962
1977-03-31,0.008241
1977-04-29,0.008879
1977-05-31,0.007340
1977-06-30,0.014961
1977-07-29,-0.007198
1977-08-31,0.008501
1977-09-30,-0.000428
1977-10-31,-0.006108
1977-11-30,0.009088
1977-12-30,-0.003384
1978-01-31,0.000674
1978-02-28,0.000485
1978-03-31,0.004002
1978-04-28,0.003640
1978-05-31,-0.001671
1978-06-30,-0.002320
1978-07-31,0.009525
1978-08-31,0.008457
1978-09-29,0.001508
1978-10-31,-0.011822
1978-11-30,0.014548
1978-12-29,-0.012748
1979-01-31,0.022777
1979-02-28,-0.006542
1979-03-30,0.012266
1979-04-30,0.002297
1979-05-31,0.021115
1979-06-29,0.021243
1979-07-31,-0.001769
1979-08-31,-0.006227
1979-09-28,-0.001467
1979-10-31,-0.051422
1979-11-30,0.038609
1979-12-31,0.007231
1980-01-31,-0.014792
1980-02-29,-0.058022
1980-03-31,0.009701
1980-04-30,0.106119
1980-05-30,0.043061
1980-06-30,0.012397
1980-07-31,-0.014512
1980-08-29,-0.047227
1980-09-30,-0.001690
1980-10-31,-0.020527
1980-11-28,-0.005101
1980-12-31,0.038364
1981-01-30,0.004090
1981-02-27,-0.022316
1981-03-31,0.025660
1981-04-30,-0.023817
1981-05-29,0.027488
1981-06-30,0.005565
1981-07-31,-0.024240
1981-08-31,-0.017160
1981-09-30,0.001361
1981-10-30,0.064539
1981-11-30,0.067174
1981-12-31,-0.038737
1982-01-29,0.005668
1982-02-26,0.013636
1982-03-31,0.004763
1982-04-30,0.030878
1982-05-28,0.011001
1982-06-30,-0.016702
1982-07-30,0.048838
1982-08-31,0.042427
1982-09-30,0.036720
1982-10-29,0.052641
1982-11-30,0.006722
1982-12-31,0.017805
1983-01-31,-0.000120
1983-02-28,0.025365
1983-03-31,-0.003449
1983-04-29,0.023276
1983-05-31,-0.013962
1983-06-30,0.002685
1983-07-29,-0.018615
1983-08-31,0.003932
1983-09-30,0.028285
1983-10-31,0.008374
1983-11-30,0.009663
1983-12-30,0.003493
1984-01-31,0.016916
1984-02-29,-0.004929
1984-03-30,-0.008219
1984-04-30,0.001826
1984-05-31,-0.030707
1984-06-29,0.012716
1984-07-31,0.043932
1984-08-31,0.010768
1984-09-28,0.019767
1984-10-31,0.044834
1984-11-30,0.018118
1984-12-31,0.016844
1985-01-31,0.022409
1985-02-28,-0.019757
1985-03-29,0.016816
1985-04-30,0.023125
1985-05-31,0.050704
1985-06-28,0.009185
1985-07-31,-0.002507
1985-08-30,0.017243
1985-09-30,0.008820
1985-10-31,0.018743
1985-11-29,0.018924
1985-12-31,0.031467
1986-01-31,0.006628
1986-02-28,0.028119
1986-03-31,0.032452
1986-04-30,0.006592
1986-05-30,-0.017460
1986-06-30,0.029247
1986-07-31,0.014430
1986-08-29,0.027386
1986-09-30,-0.006582
1986-10-31,0.016345
1986-11-28,0.012781
1986-12-31,0.002098
1987-01-30,0.010666
1987-02-27,0.003773
1987-03-31,-0.003233
1987-04-30,-0.024081
1987-05-29,-0.004098
1987-06-30,0.013430
1987-07-31,0.001149
1987-08-31,-0.006054
1987-09-30,-0.019123
1987-10-30,0.035681
1987-11-30,0.005670
1987-12-31,0.013402
1988-01-29,0.030010
