caldt,b5ret
1988-02-29,0.011305
1988-03-31,-0.009247
1988-04-29,-0.004137
1988-05-31,-0.007183
1988-06-30,0.020762
1988-07-29,-0.005904
1988-08-31,-0.000459
1988-09-30,0.020930
1988-10-31,0.017311
1988-11-30,-0.012654
1988-12-30,-0.003215
1989-01-31,0.010971
1989-02-28,-0.008109
1989-03-31,0.004408
1989-04-28,0.024226
1989-05-31,0.020272
1989-06-30,0.033222
1989-07-31,0.025020
1989-08-31,-0.018245
1989-09-29,0.002909
1989-10-31,0.025382
1989-11-30,0.009236
1989-12-29,0.002274
1990-01-31,-0.010543
1990-02-28,0.001235
1990-03-30,0.000027
1990-04-30,-0.006062
1990-05-31,0.024090
1990-06-29,0.015510
1990-07-31,0.016341
1990-08-31,-0.007523
1990-09-28,0.009406
1990-10-31,0.016654
1990-11-30,0.018591
1990-12-31,0.016087
1991-01-31,0.009233
1991-02-28,0.004807
1991-03-28,0.002571
1991-04-30,0.011056
1991-05-31,0.005521
1991-06-28,-0.002266
1991-07-31,0.012943
1991-08-30,0.024430
1991-09-30,0.022090
1991-10-31,0.013220
1991-11-29,0.013768
1991-12-31,0.028783
1992-01-31,-0.013203
1992-02-28,-0.001139
1992-03-31,-0.005707
1992-04-30,0.009261
1992-05-29,0.017990
1992-06-30,0.018828
1992-07-31,0.023916
1992-08-31,0.014411
1992-09-30,0.018478
1992-10-30,-0.017625
1992-11-30,-0.008006
1992-12-31,0.014610
1993-01-29,0.025583
1993-02-26,0.019610
1993-03-31,0.005423
1993-04-30,0.008570
1993-05-28,-0.001782
1993-06-30,0.017846
1993-07-30,0.000982
1993-08-31,0.019676
1993-09-30,0.004888
1993-10-29,0.001681
1993-11-30,-0.007976
1993-12-31,0.003247
1994-01-31,0.012792
1994-02-28,-0.018646
1994-03-31,-0.021269
1994-04-29,-0.009466
1994-05-31,0.000709
1994-06-30,-0.002512
1994-07-29,0.015932
1994-08-31,0.004055
1994-09-30,-0.014313
1994-10-31,-0.001710
1994-11-30,-0.005725
1994-12-30,0.004413
1995-01-31,0.018185
1995-02-28,0.023423
1995-03-31,0.005893
1995-04-28,0.014167
1995-05-31,0.037940
1995-06-30,0.008807
1995-07-31,-0.002987
1995-08-31,0.009454
1995-09-29,0.005559
1995-10-31,0.013628
1995-11-30,0.016057
1995-12-29,0.009416
1996-01-31,0.009446
1996-02-29,-0.013762
1996-03-29,-0.010614
1996-04-30,-0.006609
1996-05-31,-0.002639
1996-06-28,0.011286
1996-07-31,0.001965
1996-08-30,-0.000958
1996-09-30,0.016095
1996-10-31,0.020909
1996-11-29,0.015582
1996-12-31,-0.011314
