session_id,scenario_name,allocation_type,fund_a,fund_b,actual_return_a,actual_return_b,new_trial_num
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,20,80,0.000839993700070839,0.06966513140314,9
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00123998560024657,0.0481034315941324,10
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,14,86,0.00123998560024657,0.0481034315941324,10
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,90,10,0.00123998560024657,0.0481034315941324,10
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00207996500080095,0.0362028899972638,11
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,2,98,0.00207996500080095,0.0362028899972638,11
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,20,80,0.00207996500080095,0.0362028899972638,11
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00271994060175444,0.0438642213652782,12
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,9,91,0.00271994060175444,0.0438642213652782,12
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,20,80,0.00271994060175444,0.0438642213652782,12
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00295992760245909,0.0914910257886089,13
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,8,92,0.00295992760245909,0.0914910257886089,13
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,20,80,0.00295992760245909,0.0914910257886089,13
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,20,80,0.00377988450478922,-0.0689504374456713,14
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,32,68,0.00377988450478922,-0.0689504374456713,14
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,20,80,0.00377988450478922,-0.0689504374456713,14
